지점,지점명,일시,기온(°C),습도(%),증기압(hPa),이슬점온도(°C),일조(hr),적설(cm),지면상태(지면상태코드),지면온도(°C)
90,양양군,2023-01-03 13:00,5,10,0.9,-24.2,1,,,6.3
90,양양군,2023-01-03 14:00,4.4,11,0.9,-23.6,1,,,5.8
90,양양군,2023-01-03 15:00,3.4,13,1,-22.5,1,,,4.5
90,양양군,2023-01-03 16:00,3.1,14,1.1,-21.9,1,,,0.8
90,양양군,2023-01-03 17:00,1.4,15,1,-22.4,0.8,,,-0.8
90,양양군,2023-01-03 18:00,1.1,15,1,-22.7,0,,,-1.3
90,양양군,2023-01-03 19:00,-0.8,21,1.2,-20.4,,,,-2
90,양양군,2023-01-03 20:00,-0.4,17,1,-22.5,,,,-2.3
90,양양군,2023-01-03 21:00,-1.2,18,1,-22.5,,,,-3.1
90,양양군,2023-01-03 22:00,-1.9,19,1,-22.5,,,,-3.5
90,양양군,2023-01-03 23:00,-1.7,18,1,-22.9,,,,-4.1
90,양양군,2023-01-04 0:00,-1.9,18,1,-23.1,,,,-4
90,양양군,2023-01-04 1:00,-0.7,15,0.9,-24.2,,,,-3.9
90,양양군,2023-01-04 2:00,-1.1,15,0.8,-24.5,,,,-3.1
90,양양군,2023-01-04 3:00,-1,14,0.8,-25.2,,,,-3.7
90,양양군,2023-01-04 4:00,-1.1,15,0.8,-24.5,,,,-3.9
90,양양군,2023-01-04 5:00,-0.2,12,0.7,-26.2,,,,-2.9
90,양양군,2023-01-04 6:00,-0.7,14,0.8,-24.9,,,,-3.4
90,양양군,2023-01-04 7:00,-2,16,0.8,-24.5,,,,-4.8
90,양양군,2023-01-04 8:00,-1.8,16,0.9,-24.3,0.2,,,-4.7
90,양양군,2023-01-04 9:00,-0.2,15,0.9,-23.7,1,,,-3.4
90,양양군,2023-01-04 10:00,1,14,0.9,-23.5,1,,,-1.4
90,양양군,2023-01-04 11:00,2.4,12,0.9,-24.2,1,,,2.1
90,양양군,2023-01-04 12:00,3.6,11,0.9,-24.2,1,,,5.3
90,양양군,2023-01-04 13:00,5,11,1,-23.1,1,,,7
90,양양군,2023-01-04 14:00,4.2,11,0.9,-23.7,0.9,,,5.8
90,양양군,2023-01-04 15:00,3.8,12,1,-23,1,,,5.7
90,양양군,2023-01-04 16:00,3.6,13,1,-22.3,1,,,1.2
90,양양군,2023-01-04 17:00,2.5,14,1,-22.3,0.8,,,-0.8
90,양양군,2023-01-04 18:00,0.8,16,1,-22.2,0,,,-2.2
90,양양군,2023-01-04 19:00,1,15,1,-22.8,,,,-1.8
90,양양군,2023-01-04 20:00,0.5,17,1.1,-21.8,,,,-2.3
90,양양군,2023-01-04 21:00,0.2,18,1.1,-21.3,,,,-2.6
90,양양군,2023-01-04 22:00,0.1,20,1.2,-20.2,,,,-3
90,양양군,2023-01-04 23:00,0.1,22,1.4,-19.1,,,,-3.5
90,양양군,2023-01-05 0:00,-1.2,25,1.4,-18.7,,,,-3.5
90,양양군,2023-01-05 1:00,-0.1,23,1.4,-18.8,,,,-2.9
90,양양군,2023-01-05 2:00,0.3,23,1.4,-18.4,,,,-3
90,양양군,2023-01-05 3:00,0.3,25,1.6,-17.4,,,,-3.4
90,양양군,2023-01-05 4:00,1.3,24,1.6,-17.1,,,,-2.2
90,양양군,2023-01-05 5:00,1.1,25,1.7,-16.7,,,,-1.8
90,양양군,2023-01-05 6:00,1.1,26,1.7,-16.3,,,,-1.7
90,양양군,2023-01-05 7:00,-0.3,29,1.7,-16.2,,,,-2.5
90,양양군,2023-01-05 8:00,0.6,27,1.7,-16.3,0.1,,,-2.4
90,양양군,2023-01-05 9:00,2.4,26,1.9,-15.2,1,,,-1.9
90,양양군,2023-01-05 10:00,3.6,23,1.8,-15.6,1,,,-0.3
90,양양군,2023-01-05 11:00,4.4,20,1.7,-16.6,1,,,3.6
90,양양군,2023-01-05 12:00,5.4,18,1.6,-17,1,,,6.8
90,양양군,2023-01-05 13:00,6.2,17,1.6,-17.1,1,,,8.5
90,양양군,2023-01-05 14:00,6.6,16,1.6,-17.5,1,,,9.9
90,양양군,2023-01-05 15:00,6.1,17,1.6,-17.1,1,,,8
90,양양군,2023-01-05 16:00,5.2,19,1.7,-16.6,1,,,2.5
90,양양군,2023-01-05 17:00,3.7,22,1.7,-16.1,0.8,,,0
90,양양군,2023-01-05 18:00,3.2,22,1.7,-16.5,0,,,-0.9
90,양양군,2023-01-05 19:00,2.6,24,1.8,-15.9,,,,-1.3
90,양양군,2023-01-05 20:00,2.1,25,1.8,-15.9,,,,-1.7
90,양양군,2023-01-05 21:00,1.9,25,1.7,-16.1,,,,-2.5
90,양양군,2023-01-05 22:00,1.6,25,1.7,-16.3,,,,-2.8
90,양양군,2023-01-05 23:00,0.2,29,1.8,-15.7,,,,-2.3
90,양양군,2023-01-06 0:00,-0.7,31,1.8,-15.7,,,,-2.8
90,양양군,2023-01-06 1:00,-1,33,1.9,-15.2,,,,-2.9
90,양양군,2023-01-06 2:00,0.1,33,2,-14.3,,,,-2.7
90,양양군,2023-01-06 3:00,-0.2,35,2.1,-13.8,,,,-2.6
90,양양군,2023-01-06 4:00,0.8,36,2.3,-12.6,,,,-2.8
90,양양군,2023-01-06 5:00,1.4,35,2.4,-12.4,,,,-2.9
90,양양군,2023-01-06 6:00,-0.2,43,2.6,-11.2,,,,-3
90,양양군,2023-01-06 7:00,0.6,46,2.9,-9.7,,,,-3
90,양양군,2023-01-06 8:00,0.5,49,3.1,-9,0,,,-3.1
90,양양군,2023-01-06 9:00,2.6,41,3,-9.3,0.8,,,-1.7
90,양양군,2023-01-06 10:00,4.7,43,3.7,-6.8,1,,,0.2
90,양양군,2023-01-06 11:00,5.7,41,3.8,-6.5,1,,,3.6
90,양양군,2023-01-06 12:00,6.3,36,3.4,-7.7,0.8,,,5.8
90,양양군,2023-01-06 13:00,7.2,35,3.6,-7.2,1,,,7.1
90,양양군,2023-01-06 14:00,7.7,27,2.8,-10.1,1,,,8
90,양양군,2023-01-06 15:00,7,27,2.7,-10.7,0.5,,,5.2
90,양양군,2023-01-06 16:00,7.2,27,2.8,-10.5,0.4,,,3.9
90,양양군,2023-01-06 17:00,6.9,29,2.9,-9.9,0.8,,,2.3
90,양양군,2023-01-06 18:00,5.4,28,2.5,-11.6,0,,,-0.1
90,양양군,2023-01-06 19:00,4.5,31,2.6,-11.2,,,,-0.3
90,양양군,2023-01-06 20:00,4.2,33,2.7,-10.6,,,,-0.1
90,양양군,2023-01-06 21:00,3.5,37,2.9,-9.8,,,,-0.2
90,양양군,2023-01-06 22:00,3.3,42,3.2,-8.4,,,,-0.2
90,양양군,2023-01-06 23:00,3.2,44,3.4,-7.9,,,,0.2
90,양양군,2023-01-07 0:00,3.7,44,3.5,-7.4,,,,0.4
90,양양군,2023-01-07 1:00,3.7,43,3.4,-7.7,,,,0.4
90,양양군,2023-01-07 2:00,2.7,75,5.6,-1.2,,,,0.4
90,양양군,2023-01-07 3:00,0.9,92,6,-0.2,,,,0.1
90,양양군,2023-01-07 4:00,1,93,6.1,0,,,,0.1
90,양양군,2023-01-07 5:00,1.1,93,6.1,0,,,,0.1
90,양양군,2023-01-07 6:00,1.4,93,6.2,0.3,,,,0.2
90,양양군,2023-01-07 7:00,1.3,90,6.1,-0.1,,,,0
90,양양군,2023-01-07 8:00,1.1,89,5.9,-0.5,0,,,0
90,양양군,2023-01-07 9:00,1.4,88,6,-0.3,0,,,0
90,양양군,2023-01-07 10:00,2.7,79,5.9,-0.5,0,,,0.1
90,양양군,2023-01-07 11:00,4.5,70,5.9,-0.5,0.3,,,4.6
90,양양군,2023-01-07 12:00,5.5,56,5.1,-2.5,1,,,6.1
90,양양군,2023-01-07 13:00,6.3,52,5,-2.8,1,,,7.2
90,양양군,2023-01-07 14:00,6.4,47,4.5,-4.1,1,,,7.7
90,양양군,2023-01-07 15:00,5.6,48,4.4,-4.5,1,,,5.7
90,양양군,2023-01-07 16:00,4.4,50,4.2,-5.1,0.8,,,2.4
90,양양군,2023-01-07 17:00,3.4,51,4,-5.8,0.7,,,-0.3
90,양양군,2023-01-07 18:00,2.8,51,3.8,-6.3,0,,,-0.2
90,양양군,2023-01-07 19:00,2.4,51,3.7,-6.7,,,,-0.4
90,양양군,2023-01-07 20:00,2.4,47,3.4,-7.7,,,,-0.5
90,양양군,2023-01-07 21:00,1.3,50,3.3,-8,,,,-0.8
90,양양군,2023-01-07 22:00,0.6,52,3.3,-8.1,,,,-1
90,양양군,2023-01-07 23:00,0.8,51,3.3,-8.2,,,,-1.1
90,양양군,2023-01-08 0:00,1,52,3.4,-7.7,,,,-1.2
90,양양군,2023-01-08 1:00,0.6,53,3.4,-7.9,,,,-1.2
90,양양군,2023-01-08 2:00,-0.1,56,3.4,-7.8,,,,-1.5
90,양양군,2023-01-08 3:00,-1.2,60,3.4,-7.9,,,,-1.8
90,양양군,2023-01-08 4:00,-0.9,54,3.1,-9,,,,-2.2
90,양양군,2023-01-08 5:00,-1.2,56,3.1,-8.8,,,,-2.2
90,양양군,2023-01-08 6:00,-0.9,52,3,-9.5,,,,-2.1
90,양양군,2023-01-08 7:00,-1.5,55,3,-9.3,,,,-2.4
90,양양군,2023-01-08 8:00,-0.5,49,2.9,-9.9,0,,,-2.4
90,양양군,2023-01-08 9:00,1.4,44,3,-9.5,0.4,,,-1.2
90,양양군,2023-01-08 10:00,3.3,41,3.2,-8.7,0.8,,,-0.4
90,양양군,2023-01-08 11:00,6.1,42,4,-5.8,1,,,1.5
90,양양군,2023-01-08 12:00,6.1,43,4.1,-5.5,1,,,3.8
90,양양군,2023-01-08 13:00,7.3,34,3.5,-7.5,1,,,5.7
90,양양군,2023-01-08 14:00,7.9,25,2.7,-10.9,1,,,5.9
90,양양군,2023-01-08 15:00,8.4,21,2.3,-12.7,1,,,6.2
90,양양군,2023-01-08 16:00,7.6,21,2.2,-13.3,1,,,2.5
90,양양군,2023-01-08 17:00,6.3,23,2.2,-13.3,0.7,,,0.7
90,양양군,2023-01-08 18:00,6.2,24,2.3,-12.9,0,,,0
90,양양군,2023-01-08 19:00,3.9,34,2.8,-10.5,,,,-0.1
90,양양군,2023-01-08 20:00,4,33,2.7,-10.8,,,,-0.1
90,양양군,2023-01-08 21:00,4.6,31,2.6,-11.1,,,,-0.1
90,양양군,2023-01-08 22:00,4.3,35,2.9,-9.8,,,,-0.1
90,양양군,2023-01-08 23:00,6.1,33,3.1,-9,,,,0
90,양양군,2023-01-09 0:00,5.7,45,4.1,-5.3,,,,0
90,양양군,2023-01-09 1:00,5.2,49,4.3,-4.6,,,,0
90,양양군,2023-01-09 2:00,6.4,51,4.9,-3,,,,0
90,양양군,2023-01-09 3:00,5.8,53,4.9,-3,,,,0
90,양양군,2023-01-09 4:00,6.3,53,5.1,-2.5,,,,0.1
90,양양군,2023-01-09 5:00,6.5,55,5.3,-1.9,,,,0.3
90,양양군,2023-01-09 6:00,6.4,56,5.4,-1.7,,,,0.3
90,양양군,2023-01-09 7:00,7,54,5.4,-1.6,,,,0.1
90,양양군,2023-01-09 8:00,6.6,52,5.1,-2.5,0,,,0.2
90,양양군,2023-01-09 9:00,7.6,48,5,-2.7,0.7,,,0.1
90,양양군,2023-01-09 10:00,8.8,42,4.8,-3.4,1,,,1.5
90,양양군,2023-01-09 11:00,9.7,32,3.8,-6.2,1,,,6.4
90,양양군,2023-01-09 12:00,7.3,59,6.1,-0.1,1,,,8.1
90,양양군,2023-01-09 13:00,6.7,52,5.1,-2.4,1,,,7.9
90,양양군,2023-01-09 14:00,6.5,49,4.8,-3.4,1,,,7.9
90,양양군,2023-01-09 15:00,5.7,43,3.9,-5.9,1,,,6.6
90,양양군,2023-01-09 16:00,5.5,43,3.9,-6.1,1,,,3.5
90,양양군,2023-01-09 17:00,4.5,32,2.7,-10.8,0.9,,,1.1
90,양양군,2023-01-09 18:00,3.6,30,2.4,-12.4,0,,,0
90,양양군,2023-01-09 19:00,1.9,39,2.7,-10.6,,,,-0.1
90,양양군,2023-01-09 20:00,2.6,43,3.2,-8.7,,,,-0.2
90,양양군,2023-01-09 21:00,2.6,49,3.6,-7,,,,-0.2
90,양양군,2023-01-09 22:00,2.4,43,3.1,-8.9,,,,-0.2
90,양양군,2023-01-09 23:00,2.2,37,2.6,-11,,,,-0.3
90,양양군,2023-01-10 0:00,2.4,33,2.4,-12.2,,,,-0.4
90,양양군,2023-01-10 1:00,1.9,34,2.4,-12.3,,,,-0.4
90,양양군,2023-01-10 2:00,1.2,35,2.3,-12.6,,,,-0.6
90,양양군,2023-01-10 3:00,0,43,2.6,-11.1,,,,-0.6
90,양양군,2023-01-10 4:00,0,46,2.8,-10.2,,,,-0.8
90,양양군,2023-01-10 5:00,-0.2,47,2.8,-10.1,,,,-0.8
90,양양군,2023-01-10 6:00,-1,52,3,-9.6,,,,-1.1
90,양양군,2023-01-10 7:00,-1.3,53,3,-9.6,,,,-1.2
90,양양군,2023-01-10 8:00,-1.3,53,3,-9.6,0,,,-1.4
90,양양군,2023-01-10 9:00,0.5,53,3.4,-7.9,1,,,-1
90,양양군,2023-01-10 10:00,5.2,41,3.6,-7,1,,,-0.2
90,양양군,2023-01-10 11:00,7.3,39,4,-5.7,1,,,1.2
90,양양군,2023-01-10 12:00,8.3,37,4.1,-5.5,1,,,2.9
90,양양군,2023-01-10 13:00,9,41,4.7,-3.5,1,,,4.7
90,양양군,2023-01-10 14:00,9.2,46,5.4,-1.8,1,,,6.6
90,양양군,2023-01-10 15:00,8.9,46,5.2,-2.1,1,,,7.2
90,양양군,2023-01-10 16:00,8.8,54,6.1,0,1,,,4.7
90,양양군,2023-01-10 17:00,7.9,57,6.1,-0.1,0.9,,,2.7
90,양양군,2023-01-10 18:00,5.5,62,5.6,-1.2,0,,,0.7
90,양양군,2023-01-10 19:00,5,43,3.8,-6.5,,,,0.1
90,양양군,2023-01-10 20:00,4.5,34,2.9,-10,,,,-0.1
90,양양군,2023-01-10 21:00,3.8,33,2.6,-11,,,,-0.2
90,양양군,2023-01-10 22:00,4.9,31,2.7,-10.8,,,,-0.3
90,양양군,2023-01-10 23:00,3.7,34,2.7,-10.7,,,,-0.4
90,양양군,2023-01-11 0:00,3.1,37,2.8,-10.2,,,,-0.4
90,양양군,2023-01-11 1:00,2.9,34,2.6,-11.4,,,,-0.6
90,양양군,2023-01-11 2:00,0.8,45,2.9,-9.8,,,,-0.8
90,양양군,2023-01-11 3:00,3.5,44,3.5,-7.6,,,,-0.8
90,양양군,2023-01-11 4:00,5.4,24,2.1,-13.6,,,,-0.7
90,양양군,2023-01-11 5:00,5.4,24,2.1,-13.6,,,,-0.7
90,양양군,2023-01-11 6:00,4.5,40,3.4,-7.9,,,,-0.9
90,양양군,2023-01-11 7:00,6.4,28,2.7,-10.8,,,,-0.8
90,양양군,2023-01-11 8:00,5.1,26,2.3,-12.8,0.1,,,-1
90,양양군,2023-01-11 9:00,6.3,20,1.9,-15,1,,,-0.7
90,양양군,2023-01-11 10:00,9.2,23,2.7,-10.9,1,,,-0.1
90,양양군,2023-01-11 11:00,10.2,26,3.2,-8.4,1,,,1.3
90,양양군,2023-01-11 12:00,11.1,23,3,-9.2,1,,,3.1
90,양양군,2023-01-11 13:00,12,26,3.6,-6.9,1,,,5.4
90,양양군,2023-01-11 14:00,12.1,32,4.5,-4.1,1,,,8.3
90,양양군,2023-01-11 15:00,12.6,17,2.5,-11.8,1,,,8.9
90,양양군,2023-01-11 16:00,11.7,17,2.3,-12.6,1,,,6.1
90,양양군,2023-01-11 17:00,10.4,19,2.4,-12.2,0.9,,,3.4
90,양양군,2023-01-11 18:00,9.4,19,2.2,-13.1,0,,,1.7
90,양양군,2023-01-11 19:00,8,23,2.5,-11.9,,,,0.7
90,양양군,2023-01-11 20:00,8.6,21,2.3,-12.5,,,,0.4
90,양양군,2023-01-11 21:00,7.9,26,2.8,-10.4,,,,0.2
90,양양군,2023-01-11 22:00,7.1,29,2.9,-9.7,,,,0.2
90,양양군,2023-01-11 23:00,7.7,25,2.6,-11.1,,,,0.1
90,양양군,2023-01-12 0:00,8.4,22,2.4,-12.1,,,,0.2
90,양양군,2023-01-12 1:00,8.2,22,2.4,-12.3,,,,0.2
90,양양군,2023-01-12 2:00,8.5,21,2.3,-12.6,,,,0.3
90,양양군,2023-01-12 3:00,8.8,21,2.4,-12.3,,,,0.3
90,양양군,2023-01-12 4:00,8.8,19,2.1,-13.6,,,,0.4
90,양양군,2023-01-12 5:00,9.1,19,2.2,-13.3,,,,0.3
90,양양군,2023-01-12 6:00,7.5,22,2.3,-12.8,,,,0.2
90,양양군,2023-01-12 7:00,8.8,20,2.3,-12.9,,,,0.6
90,양양군,2023-01-12 8:00,8.6,30,3.3,-8,0,,,0.6
90,양양군,2023-01-12 9:00,10.8,26,3.4,-7.9,0.6,,,1.6
90,양양군,2023-01-12 10:00,10.5,34,4.3,-4.7,0.1,,,3.2
90,양양군,2023-01-12 11:00,13,25,3.7,-6.6,0.9,,,7.8
90,양양군,2023-01-12 12:00,14.3,20,3.2,-8.4,1,,,10.7
90,양양군,2023-01-12 13:00,13.9,34,5.4,-1.7,1,,,12.5
90,양양군,2023-01-12 14:00,14.6,24,4,-5.7,1,,,14
90,양양군,2023-01-12 15:00,13.5,48,7.4,2.6,1,,,13.3
90,양양군,2023-01-12 16:00,13.4,44,6.7,1.3,1,,,9.8
90,양양군,2023-01-12 17:00,11.7,57,7.8,3.4,0.9,,,6.9
90,양양군,2023-01-12 18:00,9.7,60,7.2,2.2,0,,,4.6
90,양양군,2023-01-12 19:00,7.6,48,5,-2.7,,,,3
90,양양군,2023-01-12 20:00,7,41,4.1,-5.3,,,,2
90,양양군,2023-01-12 21:00,6.6,47,4.6,-3.9,,,,1.3
90,양양군,2023-01-12 22:00,6.1,37,3.5,-7.5,,,,0.7
90,양양군,2023-01-12 23:00,5.4,35,3.1,-8.8,,,,0.5
90,양양군,2023-01-13 0:00,5.3,33,2.9,-9.7,,,,0.3
90,양양군,2023-01-13 1:00,5.6,33,3,-9.4,,,,0.7
90,양양군,2023-01-13 2:00,7.6,37,3.9,-6.1,,,,1.9
90,양양군,2023-01-13 3:00,8.3,51,5.6,-1.2,,,,2.9
90,양양군,2023-01-13 4:00,7.1,63,6.3,0.5,,,,3.4
90,양양군,2023-01-13 5:00,6.1,74,7,1.8,,,,3.6
90,양양군,2023-01-13 6:00,5.5,73,6.6,1,,,,3.6
90,양양군,2023-01-13 7:00,4.8,78,6.7,1.2,,,,3.4
90,양양군,2023-01-13 8:00,4.3,85,7,1.9,0,,,3.4
90,양양군,2023-01-13 9:00,4.2,92,7.6,3,0,,,3.7
90,양양군,2023-01-13 10:00,5.3,95,8.4,4.5,0,,,4.8
90,양양군,2023-01-13 11:00,5.7,95,8.7,4.9,0,,,5.6
90,양양군,2023-01-13 12:00,6.4,96,9.2,5.8,0,,,7.1
90,양양군,2023-01-13 13:00,6.3,96,9.2,5.7,0,,,6.5
90,양양군,2023-01-13 14:00,6,96,9,5.4,0,,,6.5
90,양양군,2023-01-13 15:00,5.9,96,8.9,5.3,0,,,6.7
90,양양군,2023-01-13 16:00,5.9,96,8.9,5.3,0,,,6.1
90,양양군,2023-01-13 17:00,5.8,96,8.8,5.2,0,,,5.8
90,양양군,2023-01-13 18:00,5.7,96,8.8,5.1,0,,,5.4
90,양양군,2023-01-13 19:00,5.7,95,8.7,4.9,,,,5.3
90,양양군,2023-01-13 20:00,5.6,95,8.6,4.8,,,,5.2
90,양양군,2023-01-13 21:00,5.8,96,8.8,5.2,,,,5.2
90,양양군,2023-01-13 22:00,5.9,96,8.9,5.3,,,,5.2
90,양양군,2023-01-13 23:00,6.3,96,9.2,5.7,,,,5.3
90,양양군,2023-01-14 0:00,6.8,97,9.5,6.3,,,,5.5
90,양양군,2023-01-14 1:00,6.4,97,9.3,5.9,,,,5.8
90,양양군,2023-01-14 2:00,5.5,97,8.7,5,,,,5.5
90,양양군,2023-01-14 3:00,5.9,96,8.9,5.3,,,,5.3
90,양양군,2023-01-14 4:00,6.2,96,9.1,5.6,,,,5.3
90,양양군,2023-01-14 5:00,6.5,95,9.2,5.7,,,,5.4
90,양양군,2023-01-14 6:00,5.9,95,8.8,5.1,,,,5.5
90,양양군,2023-01-14 7:00,6.3,96,9.2,5.7,,,,5.5
90,양양군,2023-01-14 8:00,6,92,8.5,4.7,0,,,5.5
90,양양군,2023-01-14 9:00,5.6,87,7.9,3.6,0,,,5.2
90,양양군,2023-01-14 10:00,5.4,86,7.7,3.2,0,,,5
90,양양군,2023-01-14 11:00,4.7,89,7.6,3,0,,,4.8
90,양양군,2023-01-14 12:00,4,87,7.1,2,0,,,4.6
90,양양군,2023-01-14 13:00,3.4,86,6.7,1.2,0,,,4.3
90,양양군,2023-01-14 14:00,3,86,6.5,0.8,0,,,3.9
90,양양군,2023-01-14 15:00,3.1,87,6.6,1.1,0,,,3.7
90,양양군,2023-01-14 16:00,2.5,87,6.3,0.5,0,,,3.4
90,양양군,2023-01-14 17:00,2.5,87,6.3,0.5,0,,,3.1
90,양양군,2023-01-14 18:00,2.3,89,6.4,0.6,0,,,2.3
90,양양군,2023-01-14 19:00,1,90,5.9,-0.4,,,,2.1
90,양양군,2023-01-14 20:00,0.2,93,5.8,-0.8,,,,1
90,양양군,2023-01-14 21:00,1.5,93,6.3,0.4,,,,1.7
90,양양군,2023-01-14 22:00,1.7,92,6.3,0.5,,,,1.6
90,양양군,2023-01-14 23:00,1.6,92,6.3,0.4,,,,1.8
90,양양군,2023-01-15 0:00,1.9,92,6.4,0.7,,,,1.3
90,양양군,2023-01-15 1:00,0.8,95,6.1,0,,,,0.8
90,양양군,2023-01-15 2:00,0.9,95,6.2,0.1,,,,0.7
90,양양군,2023-01-15 3:00,1.1,94,6.2,0.2,,,,0.6
90,양양군,2023-01-15 4:00,0.9,92,6,-0.2,,,,0.7
90,양양군,2023-01-15 5:00,0.8,92,6,-0.3,,,,0.6
90,양양군,2023-01-15 6:00,0.7,92,5.9,-0.4,,,,0.6
90,양양군,2023-01-15 7:00,0.5,92,5.8,-0.6,,,,0.6
90,양양군,2023-01-15 8:00,0.5,92,5.8,-0.6,0,,,0.6
90,양양군,2023-01-15 9:00,0.2,93,5.8,-0.8,0,1.5,,0.6
90,양양군,2023-01-15 10:00,-0.1,95,5.8,-0.8,0,2.5,,0.6
90,양양군,2023-01-15 11:00,0.2,96,6,-0.3,0,3.3,,0.6
90,양양군,2023-01-15 12:00,0.1,96,5.9,-0.4,0,4.3,,0.6
90,양양군,2023-01-15 13:00,-0.3,97,5.8,-0.7,0,6.7,,0.6
90,양양군,2023-01-15 14:00,-0.3,97,5.8,-0.7,0,8,,0.6
